Tenor,Rate,Shifted,Discount
1M,4.1002,4.0802,0.9996714
3M,4.138,4.118,0.9899165
6M,4.1572,4.1372,0.9833049
9M,4.1354,4.1154,0.9734721
11M,4.0826,4.0626,0.9642068
14M,4.009,3.989,0.9555797
18M,3.9218,3.9018,0.947467
21M,3.842,3.822,0.939498
2Y,3.7291,3.7091,0.9293797
3Y,3.5361,3.5161,0.9010102
4Y,3.4377,3.4177,0.8738188
5Y,3.3983,3.3783,0.8466323
6Y,3.3865,3.3665,0.8213437
7Y,3.3963,3.3763,0.7981437
8Y,3.4176,3.3976,0.776517
9Y,3.4467,3.4267,0.7580085
10Y,3.4819,3.4619,0.7416823
11Y,3.5155,3.4955,0.7264057
12Y,3.5471,3.5271,0.7122748
13Y,3.5734,3.5534,0.6995475
14Y,3.5899,3.5699,0.6883785
15Y,3.5963,3.5763,0.6790482
16Y,3.5936,3.5736,0.6699659
17Y,3.583,3.563,0.6615127
18Y,3.5682,3.5482,0.6541796
19Y,3.5368,3.5168,0.6474221
20Y,3.5102,3.4902,0.641815
25Y,3.3415,3.3215,0.6042535
30Y,3.1839,3.1639,0.5926611
40Y,2.9508,2.9308,0.3141084
50Y,2.7544,2.7344,0.2594684