timeToMaturity,Rate
3 months,3.763141
6 months,3.684181
9 months,3.571952
1 year,3.450611
2 years,3.052742
3 years,2.849406
4 years,2.770433
5 years,2.753992
6 years,2.767007
7 years,2.792983
8 years,2.823598
9 years,2.854547
10 years,2.883573
11 years,2.909522
12 years,2.931854
13 years,2.950379
14 years,2.965118
15 years,2.976208
16 years,2.983856
17 years,2.988305
18 years,2.989812
19 years,2.988639
20 years,2.98504
21 years,2.979262
22 years,2.971536
23 years,2.96208
24 years,2.951099
25 years,2.938778
26 years,2.925291
27 years,2.910796
28 years,2.895437
29 years,2.879345
30 years,2.862641